SQL,LIMAO,PG(LIMAO),GNTO,PG(GNTO)
10a_job.sql,4.736732006072998,1.1473197937011719,0.5561506748199463,1.3502328395843506
10b_job.sql,9.0658278465271,0.40586280822753906,0.38231992721557617,0.4362964630126953
12c_job.sql,2.3915534019470215,6.421222686767578,1.1002485752105713,8.975033521652222
17c_job.sql,7.889155149459839,3.601724863052368,3.7466230392456055,3.852809429168701
17d_job.sql,5.499809980392456,3.6615421772003174,3.814445734024048,3.920393943786621
17e_job.sql,10.232747316360474,6.4676947593688965,5.987665891647339,6.404890060424805
18b_job.sql,4.732060670852661,6.315793752670288,0.47787904739379883,6.280016660690308
19c_job.sql,7.120787620544434,2.5303726196289062,1.6927697658538818,2.745884656906128
22a_job.sql,3.1938633918762207,5.891608476638794,1.0542631149291992,18.802397966384888
25c_job.sql,6.561708450317383,6.650784969329834,4.866974115371704,7.341372013092041
7b_job.sql,3.7547833919525146,0.7891132831573486,0.4268362522125244,1.113851547241211
